Date,Open,Change %
2024-03-18,68389,-1.17
2024-03-17,65314,4.71
2024-03-16,69456,-5.97
2024-03-15,71387,-2.69
2024-03-14,73066,-2.3
2024-03-13,71461,2.23
2024-03-12,72099,-0.87
2024-03-11,68964,4.54
2024-03-10,68360,1.57
2024-03-09,68178,0.29
2024-03-08,66854,1.97
2024-03-07,66074,1.17
2024-03-06,63794,3.59
2024-03-05,68273,-6.56
2024-03-04,63135,8.13
2024-03-03,61955,1.84
2024-03-02,62397,-0.65
2024-03-01,61157,2.01
2024-02-29,62467,-2.08
2024-02-28,57048,9.48
2024-02-27,54491,4.7
2024-02-26,51722,5.36
2024-02-25,51572,0.29
2024-02-24,50739,1.64
2024-02-23,51320,-1.13
2024-02-22,51850,-1.04
2024-02-21,52263,-0.78
2024-02-20,51783,0.93
2024-02-19,52119,-0.64
2024-02-18,51646,0.91
2024-02-17,52134,-0.94
2024-02-16,51901,0.45
2024-02-15,51805,0.23
2024-02-14,49708,4.16
2024-02-13,49941,-0.45
2024-02-12,48280,3.45
2024-02-11,47759,1.09
2024-02-10,47128,1.34
2024-02-09,45293,4.05
2024-02-08,44346,2.15
2024-02-07,43088,2.91
2024-02-06,42697,0.91
2024-02-05,42581,0.27
2024-02-04,43006,-0.99
2024-02-03,43194,-0.44
2024-02-02,43083,0.26
2024-02-01,42580,1.18
2024-01-31,42946,-0.85
2024-01-30,43303,-0.82
2024-01-29,42031,3.02
2024-01-28,42121,-0.21
2024-01-27,41811,0.74
2024-01-26,39942,4.7
2024-01-25,40085,-0.37
2024-01-24,39891,0.49
2024-01-23,39555,0.84
2024-01-22,41581,-4.87
2024-01-21,41695,-0.27
2024-01-20,41647,0.11
2024-01-19,41293,0.86
2024-01-18,42763,-3.45
2024-01-17,43139,-0.87
2024-01-16,42515,1.49
2024-01-15,41747,1.83
2024-01-14,42851,-2.58
2024-01-13,42836,0.04
2024-01-12,46348,-7.58
2024-01-11,46629,-0.6
2024-01-10,46112,1.08
2024-01-09,46959,-1.77
2024-01-08,43934,6.91
2024-01-07,43973,-0.09
2024-01-06,44156,-0.43
2024-01-05,44163,0.0
2024-01-04,42836,3.08
2024-01-03,44943,-4.69
2024-01-02,44182,1.72
2024-01-01,42272,4.52
2023-12-31,42141,0.32
2023-12-30,42074,0.15
2023-12-29,42581,-1.19
2023-12-28,43446,-1.99
2023-12-27,42514,2.2
2023-12-26,43579,-2.44
2023-12-25,42982,1.39
2023-12-24,43710,-1.67
2023-12-23,43968,-0.59
2023-12-22,43865,0.23
2023-12-21,43660,0.47
2023-12-20,42259,3.32
2023-12-19,42659,-0.94
2023-12-18,41369,3.12
2023-12-17,42271,-2.14
2023-12-16,41929,0.82
2023-12-15,43025,-2.55
2023-12-14,42886,0.33
2023-12-13,41487,3.37
2023-12-12,41256,0.56
2023-12-11,43791,-5.79
2023-12-10,43716,0.17
2023-12-09,44175,-1.03
2023-12-08,43288,2.05
2023-12-07,43774,-1.11
2023-12-06,44076,-0.68
2023-12-05,41989,4.97
2023-12-04,39968,5.05
2023-12-03,39456,1.3
2023-12-02,38688,1.99
2023-12-01,37712,2.59
2023-11-30,37857,-0.38
2023-11-29,37823,0.09
2023-11-28,37244,1.54
2023-11-27,37451,-0.54
2023-11-26,37786,-0.89
2023-11-25,37718,0.18
2023-11-24,37295,1.14
2023-11-23,37410,-0.31
2023-11-22,35797,4.46
2023-11-21,37452,-4.38
2023-11-20,37356,0.27
2023-11-19,36568,2.15
2023-11-18,36617,-0.07
2023-11-17,36161,1.2
2023-11-16,37873,-4.52
2023-11-15,35549,6.54
2023-11-14,36478,-2.55
2023-11-13,37067,-1.58
2023-11-12,37149,-0.23
2023-11-11,37306,-0.41
2023-11-10,36700,1.64
2023-11-09,35636,2.98
2023-11-08,35426,0.6
2023-11-07,35042,1.1
2023-11-06,35020,0.06
2023-11-05,35065,-0.13
2023-11-04,34718,1.0
2023-11-03,34931,-0.61
2023-11-02,35423,-1.39
2023-11-01,34648,2.23
2023-10-31,34478,0.5
2023-10-30,34526,-0.14
2023-10-29,34082,1.3
2023-10-28,33901,0.53
2023-10-27,34153,-0.74
2023-10-26,34497,-0.99
2023-10-25,33917,1.71
2023-10-24,33037,2.65
2023-10-23,29984,10.2
2023-10-22,29912,0.24
2023-10-21,29674,0.8
2023-10-20,28724,3.31
2023-10-19,28321,1.42
